0.25mg		0.75mg		5mg	
Time (Days)	Conc	Time (days)	Conc	Time (days)	Conc
0.0428	0.1573	0.0428	0.4006	-0.0428	1.4629
0.0857	-0.0801	0.0857	0.3294	1.78E-15	1.2433
0.2141	0.1098	0.2141	0.8457	0.1713	1.4036
0.3854	0.2047	0.5567	0.3887	0.2998	1.4332
0.5996	0.1454	1.0707	0.5193	0.5567	1.4926
1.0707	-0.0682	2.0128	0.5015	1.0707	1.3264
2.0557	-0.0623	3.0407	0.4718	2.0128	1.1958
3.0835	-0.1454	4.0257	0.4659	3.0407	1.3086
4.0257	-0.1988	7.0664	0.3591	4.0685	1.2077
7.0664	-0.2344	14.0043	-0.2047	21.0278	0.2878
14.0043	-0.3887	35.0321	-1.0059	42.0128	-0.0682
35.1178	-1.4095	nan	nan	nan	nan
